date-time;year;month;day;hour;NH3;NO;NO2
2013-01-01 0:00;2013;1;1;0;1.25;9.26;26.24
2013-01-01 1:00;2013;1;1;1;1.25;9.26;26.24
2013-01-01 2:00;2013;1;1;2;1.25;5.63;16.85
2013-01-01 3:00;2013;1;1;3;1.25;1.97;8.57
2013-01-01 4:00;2013;1;1;4;0.94;1.67;6.51
2013-01-01 5:00;2013;1;1;5;0.94;1.86;6.91
2013-01-01 6:00;2013;1;1;6;0.94;1.38;8.57
2013-01-01 7:00;2013;1;1;7;0.94;1.70;9.14
2013-01-01 8:00;2013;1;1;8;0.94;1.36;9.73
2013-01-01 9:00;2013;1;1;9;0.94;1.08;7.56
2013-01-01 10:00;2013;1;1;10;1.25;0.93;9.37
2013-01-01 11:00;2013;1;1;11;2.19;4.05;16.53
2013-01-01 12:00;2013;1;1;12;3.13;5.00;19.18
2013-01-01 13:00;2013;1;1;13;9.06;6.59;22.92
2013-01-01 14:00;2013;1;1;14;6.56;13.04;27.81
2013-01-01 15:00;2013;1;1;15;4.37;14.47;25.87
2013-01-01 16:00;2013;1;1;16;3.44;16.64;29.27
2013-01-01 17:00;2013;1;1;17;3.44;17.12;33.39
2013-01-01 18:00;2013;1;1;18;4.06;14.71;38.24
2013-01-01 19:00;2013;1;1;19;3.75;12.85;36.94
2013-01-01 20:00;2013;1;1;20;3.75;13.77;35.22
2013-01-01 21:00;2013;1;1;21;3.44;6.21;26.65
2013-01-01 22:00;2013;1;1;22;3.13;7.26;25.25
2013-01-01 23:00;2013;1;1;23;3.13;5.46;20.95
2013-01-02 0:00;2013;1;2;0;3.13;6.25;23.78
2013-01-02 1:00;2013;1;2;1;3.13;2.71;16.58
2013-01-02 2:00;2013;1;2;2;3.13;3.03;17.61
2013-01-02 3:00;2013;1;2;3;3.44;3.07;17.05
2013-01-02 4:00;2013;1;2;4;3.44;1.75;15.03
2013-01-02 5:00;2013;1;2;5;3.13;4.72;18.70
2013-01-02 6:00;2013;1;2;6;3.44;8.07;26.92
2013-01-02 7:00;2013;1;2;7;3.44;15.46;32.58
2013-01-02 8:00;2013;1;2;8;3.75;38.77;50.23
2013-01-02 9:00;2013;1;2;9;4.06;39.91;54.08
2013-01-02 10:00;2013;1;2;10;5.00;52.56;54.53
2013-01-02 11:00;2013;1;2;11;4.69;46.04;50.06
2013-01-02 12:00;2013;1;2;12;5.00;45.88;49.51
2013-01-02 13:00;2013;1;2;13;5.00;43.72;46.31
2013-01-02 14:00;2013;1;2;14;4.37;40.97;48.11
2013-01-02 15:00;2013;1;2;15;4.06;40.36;52.89
2013-01-02 16:00;2013;1;2;16;4.06;39.37;50.53
2013-01-02 17:00;2013;1;2;17;3.75;27.49;52.60
2013-01-02 18:00;2013;1;2;18;3.75;23.48;48.83
2013-01-02 19:00;2013;1;2;19;3.44;17.31;44.60
2013-01-02 20:00;2013;1;2;20;3.44;12.13;42.69
2013-01-02 21:00;2013;1;2;21;3.44;8.98;40.52
2013-01-02 22:00;2013;1;2;22;3.44;6.27;37.26
2013-01-02 23:00;2013;1;2;23;3.13;5.36;32.81
2013-01-03 0:00;2013;1;3;0;2.81;4.13;25.59
2013-01-03 1:00;2013;1;3;1;1.87;2.48;16.48
2013-01-03 2:00;2013;1;3;2;1.87;1.54;12.65
2013-01-03 3:00;2013;1;3;3;1.87;1.20;9.91
2013-01-03 4:00;2013;1;3;4;1.56;1.70;10.39
2013-01-03 5:00;2013;1;3;5;1.87;2.28;12.06
2013-01-03 6:00;2013;1;3;6;1.56;4.51;15.45
2013-01-03 7:00;2013;1;3;7;1.87;10.25;26.61
2013-01-03 8:00;2013;1;3;8;1.87;30.19;38.47
2013-01-03 9:00;2013;1;3;9;1.87;27.03;42.36
2013-01-03 10:00;2013;1;3;10;2.19;25.64;44.48
2013-01-03 11:00;2013;1;3;11;2.19;18.00;36.60
2013-01-03 12:00;2013;1;3;12;2.81;23.58;40.73
2013-01-03 13:00;2013;1;3;13;3.13;23.43;39.28
2013-01-03 14:00;2013;1;3;14;4.06;28.53;41.77
2013-01-03 15:00;2013;1;3;15;4.37;25.29;44.12
2013-01-03 16:00;2013;1;3;16;4.69;25.14;42.11
2013-01-03 17:00;2013;1;3;17;5.31;25.54;40.26
2013-01-03 18:00;2013;1;3;18;6.56;23.68;42.79
2013-01-03 19:00;2013;1;3;19;6.56;25.76;43.66
2013-01-03 20:00;2013;1;3;20;6.56;21.89;46.68
2013-01-03 21:00;2013;1;3;21;6.87;16.85;38.82
2013-01-03 22:00;2013;1;3;22;5.94;19.45;40.00
2013-01-03 23:00;2013;1;3;23;5.62;11.12;31.16
2013-01-04 0:00;2013;1;4;0;5.62;11.89;35.15
2013-01-04 1:00;2013;1;4;1;5.62;8.11;29.69
2013-01-04 2:00;2013;1;4;2;5.62;3.89;26.95
2013-01-04 3:00;2013;1;4;3;5.62;3.43;23.52
2013-01-04 4:00;2013;1;4;4;5.62;4.86;29.81
2013-01-04 5:00;2013;1;4;5;2.50;3.18;29.32
2013-01-04 6:00;2013;1;4;6;2.50;4.81;30.83
2013-01-04 7:00;2013;1;4;7;2.50;8.81;32.32
2013-01-04 8:00;2013;1;4;8;3.13;23.03;42.48
2013-01-04 9:00;2013;1;4;9;3.44;32.43;35.49
2013-01-04 10:00;2013;1;4;10;3.13;21.72;37.35
2013-01-04 11:00;2013;1;4;11;3.75;23.90;37.85
2013-01-04 12:00;2013;1;4;12;4.69;36.97;51.26
2013-01-04 13:00;2013;1;4;13;6.25;37.02;51.19
2013-01-04 14:00;2013;1;4;14;7.50;31.48;56.37
2013-01-04 15:00;2013;1;4;15;7.81;33.31;50.72
2013-01-04 16:00;2013;1;4;16;7.76;30.37;50.67
2013-01-04 17:00;2013;1;4;17;7.81;34.22;50.94
2013-01-04 18:00;2013;1;4;18;6.87;27.53;39.93
2013-01-04 19:00;2013;1;4;19;7.50;19.64;35.58
2013-01-04 20:00;2013;1;4;20;7.81;12.74;29.20
2013-01-04 21:00;2013;1;4;21;6.87;12.22;24.29
2013-01-04 22:00;2013;1;4;22;7.50;15.42;23.72
2013-01-04 23:00;2013;1;4;23;7.81;13.38;28.58
2013-01-05 0:00;2013;1;5;0;6.77;12.81;24.80
2013-01-05 1:00;2013;1;5;1;5.62;11.50;25.03
2013-01-05 2:00;2013;1;5;2;5.00;6.14;15.77
2013-01-05 3:00;2013;1;5;3;5.31;4.61;11.96
2013-01-05 4:00;2013;1;5;4;6.35;4.70;14.31
2013-01-05 5:00;2013;1;5;5;7.29;5.42;16.35
2013-01-05 6:00;2013;1;5;6;10.42;4.03;17.24
2013-01-05 7:00;2013;1;5;7;8.75;6.59;23.67
2013-01-05 8:00;2013;1;5;8;8.13;11.79;30.28
2013-01-05 9:00;2013;1;5;9;9.37;18.51;37.61
2013-01-05 10:00;2013;1;5;10;8.23;26.23;44.04
2013-01-05 11:00;2013;1;5;11;11.04;30.90;46.66
2013-01-05 12:00;2013;1;5;12;20.31;37.91;48.50
2013-01-05 13:00;2013;1;5;13;15.63;32.31;50.05
2013-01-05 14:00;2013;1;5;14;14.69;35.96;51.84
2013-01-05 15:00;2013;1;5;15;10.47;32.52;45.93
2013-01-05 16:00;2013;1;5;16;8.44;33.08;42.57
2013-01-05 17:00;2013;1;5;17;7.66;35.26;43.61
2013-01-05 18:00;2013;1;5;18;7.50;29.23;49.20
2013-01-05 19:00;2013;1;5;19;6.25;33.34;47.91
2013-01-05 20:00;2013;1;5;20;7.19;25.78;40.53
2013-01-05 21:00;2013;1;5;21;7.81;17.61;32.24
2013-01-05 22:00;2013;1;5;22;6.56;15.82;33.12
2013-01-05 23:00;2013;1;5;23;5.00;16.05;28.98
2013-01-06 0:00;2013;1;6;0;4.37;18.11;30.74
