,date-time,year,month,day,hour,NO_Vredepeel,NO2_Vredepeel,NO_Zegveld,NO2_Zegveld,NO_Wekerom,NO2_Wekerom
0,2023-01-01 0:00:00,2023,1,1,0,0.19,3.36,0.33,12.05,-0.30,9.33
1,2023-01-01 1:00:00,2023,1,1,1,0.27,2.69,0.21,8.19,0.39,5.97
2,2023-01-01 2:00:00,2023,1,1,2,0.36,2.48,0.12,3.53,0.04,3.45
3,2023-01-01 3:00:00,2023,1,1,3,0.29,2.37,0.17,2.72,0.17,2.85
4,2023-01-01 4:00:00,2023,1,1,4,0.25,2.28,0.11,2.63,-0.17,2.88
5,2023-01-01 5:00:00,2023,1,1,5,0.12,2.27,0.03,3.76,0.25,3.30
6,2023-01-01 6:00:00,2023,1,1,6,0.18,2.15,0.04,4.21,-0.29,2.17
7,2023-01-01 7:00:00,2023,1,1,7,0.25,2.30,0.00,4.72,0.40,1.75
8,2023-01-01 8:00:00,2023,1,1,8,2.33,27.98,0.04,4.69,-0.04,1.83
9,2023-01-01 9:00:00,2023,1,1,9,0.62,6.46,0.13,5.08,0.40,3.08
10,2023-01-01 10:00:00,2023,1,1,10,0.77,7.09,0.30,3.57,0.74,3.99
11,2023-01-01 11:00:00,2023,1,1,11,0.51,3.16,0.48,4.27,0.80,4.01
12,2023-01-01 12:00:00,2023,1,1,12,0.33,2.79,0.29,4.13,0.29,3.45
13,2023-01-01 13:00:00,2023,1,1,13,0.52,3.37,0.36,4.94,0.13,5.14
14,2023-01-01 14:00:00,2023,1,1,14,0.32,2.33,0.35,6.19,0.52,4.84
15,2023-01-01 15:00:00,2023,1,1,15,0.29,3.44,0.21,5.36,0.41,5.91
16,2023-01-01 16:00:00,2023,1,1,16,0.22,3.90,0.13,6.52,0.42,6.14
17,2023-01-01 17:00:00,2023,1,1,17,0.46,5.69,0.13,7.61,-0.09,5.35
18,2023-01-01 18:00:00,2023,1,1,18,0.23,3.55,0.27,6.52,0.39,5.23
19,2023-01-01 19:00:00,2023,1,1,19,0.16,4.14,0.18,5.58,0.29,5.56
20,2023-01-01 20:00:00,2023,1,1,20,0.04,3.08,-0.01,4.74,-0.08,4.38
21,2023-01-01 21:00:00,2023,1,1,21,0.23,4.55,0.10,4.09,0.02,4.28
22,2023-01-01 22:00:00,2023,1,1,22,0.18,4.85,0.17,4.24,0.28,3.01
23,2023-01-01 23:00:00,2023,1,1,23,0.20,4.61,0.08,4.41,0.29,3.05
24,2023-01-02 0:00:00,2023,1,2,0,0.35,5.77,0.24,5.64,-0.01,3.84
25,2023-01-02 1:00:00,2023,1,2,1,0.41,5.73,0.32,6.93,0.09,3.74
26,2023-01-02 2:00:00,2023,1,2,2,0.37,3.81,0.37,5.89,-0.41,2.95
27,2023-01-02 3:00:00,2023,1,2,3,0.23,1.82,0.12,7.98,-0.09,2.31
28,2023-01-02 4:00:00,2023,1,2,4,0.20,1.60,0.12,7.50,-0.51,1.86
29,2023-01-02 5:00:00,2023,1,2,5,0.28,1.62,0.18,5.86,-0.05,1.94
30,2023-01-02 6:00:00,2023,1,2,6,0.40,2.19,0.19,5.06,-0.49,2.16
31,2023-01-02 7:00:00,2023,1,2,7,0.30,2.50,0.10,3.17,-0.23,2.15
32,2023-01-02 8:00:00,2023,1,2,8,0.08,2.70,0.12,3.93,-0.33,2.71
33,2023-01-02 9:00:00,2023,1,2,9,0.30,3.52,0.15,6.12,-0.35,3.60
34,2023-01-02 10:00:00,2023,1,2,10,0.56,4.79,0.43,12.14,-0.22,5.43
35,2023-01-02 11:00:00,2023,1,2,11,0.65,7.16,1.51,14.26,0.10,8.34
36,2023-01-02 12:00:00,2023,1,2,12,0.60,7.04,1.14,10.98,0.29,7.99
37,2023-01-02 13:00:00,2023,1,2,13,1.97,20.07,0.63,11.40,0.27,8.27
38,2023-01-02 14:00:00,2023,1,2,14,0.64,11.48,0.66,13.99,0.38,11.66
39,2023-01-02 15:00:00,2023,1,2,15,0.46,8.92,0.38,14.89,-0.21,12.03
40,2023-01-02 16:00:00,2023,1,2,16,0.44,9.33,0.27,14.47,-0.18,13.28
41,2023-01-02 17:00:00,2023,1,2,17,1.65,24.37,0.15,5.92,-0.07,12.36
42,2023-01-02 18:00:00,2023,1,2,18,1.83,35.49,0.09,6.31,-0.12,12.41
43,2023-01-02 19:00:00,2023,1,2,19,0.88,21.33,0.11,5.79,0.11,11.64
44,2023-01-02 20:00:00,2023,1,2,20,0.28,10.51,0.24,9.63,-0.10,10.33
45,2023-01-02 21:00:00,2023,1,2,21,1.62,36.28,0.28,19.14,-0.10,9.56
46,2023-01-02 22:00:00,2023,1,2,22,0.58,20.13,0.69,45.41,-0.09,16.36
47,2023-01-02 23:00:00,2023,1,2,23,0.49,10.47,0.62,39.03,-0.35,19.89
48,2023-01-03 0:00:00,2023,1,3,0,0.55,14.54,0.43,27.37,0.73,17.11
49,2023-01-03 1:00:00,2023,1,3,1,-0.11,9.36,0.62,33.99,0.73,15.36
50,2023-01-03 2:00:00,2023,1,3,2,-0.14,9.59,0.53,22.65,0.70,15.31
51,2023-01-03 3:00:00,2023,1,3,3,0.06,9.03,0.31,13.79,0.86,16.30
52,2023-01-03 4:00:00,2023,1,3,4,0.04,9.82,0.10,15.15,0.91,13.45
53,2023-01-03 5:00:00,2023,1,3,5,0.09,11.62,0.27,18.18,0.83,12.47
54,2023-01-03 6:00:00,2023,1,3,6,0.19,12.06,0.49,20.45,1.08,14.25
55,2023-01-03 7:00:00,2023,1,3,7,0.22,11.77,0.30,23.20,1.16,16.28
56,2023-01-03 8:00:00,2023,1,3,8,0.51,14.40,0.36,19.85,2.12,19.05
57,2023-01-03 9:00:00,2023,1,3,9,0.70,14.20,0.88,18.15,2.45,20.00
58,2023-01-03 10:00:00,2023,1,3,10,0.71,12.32,1.44,18.47,2.31,15.23
59,2023-01-03 11:00:00,2023,1,3,11,0.51,9.15,1.85,19.35,3.03,11.77
60,2023-01-03 12:00:00,2023,1,3,12,0.47,6.67,0.65,10.86,0.95,9.92
61,2023-01-03 13:00:00,2023,1,3,13,0.11,4.70,0.42,8.30,1.73,9.70
62,2023-01-03 14:00:00,2023,1,3,14,0.13,3.15,0.66,8.25,2.27,9.74
63,2023-01-03 15:00:00,2023,1,3,15,0.02,4.08,0.88,14.18,0.90,7.58
64,2023-01-03 16:00:00,2023,1,3,16,0.30,7.97,0.41,13.39,2.87,9.59
65,2023-01-03 17:00:00,2023,1,3,17,0.22,9.60,0.11,11.03,1.41,9.00
66,2023-01-03 18:00:00,2023,1,3,18,0.10,8.27,0.27,9.74,0.93,8.06
67,2023-01-03 19:00:00,2023,1,3,19,0.00,5.68,0.13,10.18,0.72,7.04
68,2023-01-03 20:00:00,2023,1,3,20,-0.01,5.60,0.10,10.90,0.56,5.85
69,2023-01-03 21:00:00,2023,1,3,21,0.02,5.07,0.08,9.44,0.74,5.19
70,2023-01-03 22:00:00,2023,1,3,22,-0.07,4.09,0.15,8.70,0.60,4.15
71,2023-01-03 23:00:00,2023,1,3,23,-0.01,3.16,0.09,6.93,0.26,3.92
72,2023-01-04 0:00:00,2023,1,4,0,0.21,2.76,0.35,5.12,-0.25,4.04
73,2023-01-04 1:00:00,2023,1,4,1,0.13,2.18,0.26,5.15,-0.02,2.88
74,2023-01-04 2:00:00,2023,1,4,2,-0.07,1.81,0.22,4.63,-0.39,2.67
75,2023-01-04 3:00:00,2023,1,4,3,0.01,1.92,0.18,3.96,-0.43,2.63
76,2023-01-04 4:00:00,2023,1,4,4,0.04,1.94,0.18,3.52,-0.48,2.65
77,2023-01-04 5:00:00,2023,1,4,5,0.04,2.01,0.23,3.69,-0.47,3.17
78,2023-01-04 6:00:00,2023,1,4,6,-0.03,2.49,0.23,4.69,-0.64,3.46
79,2023-01-04 7:00:00,2023,1,4,7,0.08,2.68,0.31,6.52,-0.56,4.41
80,2023-01-04 8:00:00,2023,1,4,8,0.09,2.91,0.27,7.40,0.22,5.55
81,2023-01-04 9:00:00,2023,1,4,9,0.25,3.75,0.21,8.11,-0.06,6.30
82,2023-01-04 10:00:00,2023,1,4,10,0.24,4.22,0.35,5.26,0.15,5.93
83,2023-01-04 11:00:00,2023,1,4,11,0.07,3.61,0.37,6.27,-0.40,6.51
84,2023-01-04 12:00:00,2023,1,4,12,0.30,4.39,0.37,5.24,0.13,6.40
85,2023-01-04 13:00:00,2023,1,4,13,1.27,10.75,0.39,6.04,0.85,7.78
86,2023-01-04 14:00:00,2023,1,4,14,1.29,13.09,0.45,7.05,-0.09,5.42
87,2023-01-04 15:00:00,2023,1,4,15,1.39,15.06,0.36,8.85,-0.44,5.54
88,2023-01-04 16:00:00,2023,1,4,16,1.28,17.26,0.30,8.42,0.50,5.67
89,2023-01-04 17:00:00,2023,1,4,17,0.48,10.41,0.29,8.29,-0.39,5.83
90,2023-01-04 18:00:00,2023,1,4,18,0.04,7.40,0.27,8.16,-0.09,6.30
91,2023-01-04 19:00:00,2023,1,4,19,0.53,9.51,0.26,8.04,-0.35,5.16
92,2023-01-04 20:00:00,2023,1,4,20,0.16,6.36,0.24,7.91,-0.52,5.03
93,2023-01-04 21:00:00,2023,1,4,21,0.04,6.51,0.23,7.78,-0.28,4.85
