,date-time,year,month,day,hour,NH3_Vredepeel,NH3_Zegveld,NH3_Wekerom
0,2022-01-01 0:00:00,2022,1,1,0,5.27,2.39,4.33
1,2022-01-01 1:00:00,2022,1,1,1,4.74,2.73,4.66
2,2022-01-01 2:00:00,2022,1,1,2,5.15,3.24,4.25
3,2022-01-01 3:00:00,2022,1,1,3,4.45,3.40,4.54
4,2022-01-01 4:00:00,2022,1,1,4,5.82,6.48,4.18
5,2022-01-01 5:00:00,2022,1,1,5,6.61,10.59,5.44
6,2022-01-01 6:00:00,2022,1,1,6,7.65,9.51,5.05
7,2022-01-01 7:00:00,2022,1,1,7,7.15,6.36,5.08
8,2022-01-01 8:00:00,2022,1,1,8,6.83,5.60,5.34
9,2022-01-01 9:00:00,2022,1,1,9,7.06,6.92,5.99
10,2022-01-01 10:00:00,2022,1,1,10,7.46,9.52,6.66
11,2022-01-01 11:00:00,2022,1,1,11,8.09,7.71,5.71
12,2022-01-01 12:00:00,2022,1,1,12,10.19,7.82,5.54
13,2022-01-01 13:00:00,2022,1,1,13,8.82,8.45,5.85
14,2022-01-01 14:00:00,2022,1,1,14,8.79,7.38,5.59
15,2022-01-01 15:00:00,2022,1,1,15,11.14,6.61,6.33
16,2022-01-01 16:00:00,2022,1,1,16,14.30,8.08,5.97
17,2022-01-01 17:00:00,2022,1,1,17,9.63,8.03,6.18
18,2022-01-01 18:00:00,2022,1,1,18,7.65,8.42,5.84
19,2022-01-01 19:00:00,2022,1,1,19,8.25,8.73,5.55
20,2022-01-01 20:00:00,2022,1,1,20,8.45,10.08,5.27
21,2022-01-01 21:00:00,2022,1,1,21,9.13,8.18,5.47
22,2022-01-01 22:00:00,2022,1,1,22,12.37,6.11,5.49
23,2022-01-01 23:00:00,2022,1,1,23,13.40,5.87,5.64
24,2022-01-02 0:00:00,2022,1,2,0,7.75,8.83,5.20
25,2022-01-02 1:00:00,2022,1,2,1,7.24,6.62,5.20
26,2022-01-02 2:00:00,2022,1,2,2,4.71,6.65,3.73
27,2022-01-02 3:00:00,2022,1,2,3,5.88,4.73,4.19
28,2022-01-02 4:00:00,2022,1,2,4,7.16,4.89,4.92
29,2022-01-02 5:00:00,2022,1,2,5,6.08,4.17,3.94
30,2022-01-02 6:00:00,2022,1,2,6,6.21,5.06,2.97
31,2022-01-02 7:00:00,2022,1,2,7,7.02,5.30,3.37
32,2022-01-02 8:00:00,2022,1,2,8,6.87,6.05,3.51
33,2022-01-02 9:00:00,2022,1,2,9,8.79,3.96,4.14
34,2022-01-02 10:00:00,2022,1,2,10,4.30,4.31,4.70
35,2022-01-02 11:00:00,2022,1,2,11,3.80,3.46,5.12
36,2022-01-02 12:00:00,2022,1,2,12,3.19,2.28,5.03
37,2022-01-02 13:00:00,2022,1,2,13,3.24,1.88,3.77
38,2022-01-02 14:00:00,2022,1,2,14,3.36,1.93,3.20
39,2022-01-02 15:00:00,2022,1,2,15,3.56,2.42,3.49
40,2022-01-02 16:00:00,2022,1,2,16,3.81,2.41,3.89
41,2022-01-02 17:00:00,2022,1,2,17,2.79,2.48,3.96
42,2022-01-02 18:00:00,2022,1,2,18,4.38,2.40,4.70
43,2022-01-02 19:00:00,2022,1,2,19,3.46,2.83,3.83
44,2022-01-02 20:00:00,2022,1,2,20,2.67,1.92,2.60
45,2022-01-02 21:00:00,2022,1,2,21,2.46,1.89,3.04
46,2022-01-02 22:00:00,2022,1,2,22,2.94,1.69,2.60
47,2022-01-02 23:00:00,2022,1,2,23,4.17,1.72,2.42
48,2022-01-03 0:00:00,2022,1,3,0,3.48,1.95,2.36
49,2022-01-03 1:00:00,2022,1,3,1,3.13,1.71,2.75
50,2022-01-03 2:00:00,2022,1,3,2,2.68,2.20,2.89
51,2022-01-03 3:00:00,2022,1,3,3,3.13,2.08,2.81
52,2022-01-03 4:00:00,2022,1,3,4,3.10,2.23,2.97
53,2022-01-03 5:00:00,2022,1,3,5,2.88,2.15,2.76
54,2022-01-03 6:00:00,2022,1,3,6,2.86,1.77,3.55
55,2022-01-03 7:00:00,2022,1,3,7,2.31,1.86,3.54
56,2022-01-03 8:00:00,2022,1,3,8,2.16,2.00,3.62
57,2022-01-03 9:00:00,2022,1,3,9,2.26,1.94,3.18
58,2022-01-03 10:00:00,2022,1,3,10,2.94,1.78,3.01
59,2022-01-03 11:00:00,2022,1,3,11,2.64,1.82,3.06
60,2022-01-03 12:00:00,2022,1,3,12,2.77,1.83,3.67
61,2022-01-03 13:00:00,2022,1,3,13,2.71,2.08,3.05
62,2022-01-03 14:00:00,2022,1,3,14,2.39,1.99,3.58
63,2022-01-03 15:00:00,2022,1,3,15,2.17,1.98,4.20
64,2022-01-03 16:00:00,2022,1,3,16,2.19,2.03,4.50
65,2022-01-03 17:00:00,2022,1,3,17,2.67,1.83,4.34
66,2022-01-03 18:00:00,2022,1,3,18,4.43,1.72,3.73
67,2022-01-03 19:00:00,2022,1,3,19,2.96,1.76,3.57
68,2022-01-03 20:00:00,2022,1,3,20,3.32,1.86,3.79
69,2022-01-03 21:00:00,2022,1,3,21,4.41,1.75,4.14
70,2022-01-03 22:00:00,2022,1,3,22,3.51,2.12,3.75
71,2022-01-03 23:00:00,2022,1,3,23,2.40,3.92,3.98
72,2022-01-04 0:00:00,2022,1,4,0,2.65,4.01,3.59
73,2022-01-04 1:00:00,2022,1,4,1,2.56,5.52,3.42
74,2022-01-04 2:00:00,2022,1,4,2,2.66,3.87,4.06
75,2022-01-04 3:00:00,2022,1,4,3,2.57,2.41,3.71
76,2022-01-04 4:00:00,2022,1,4,4,2.30,1.84,3.36
77,2022-01-04 5:00:00,2022,1,4,5,2.90,4.36,3.10
78,2022-01-04 6:00:00,2022,1,4,6,3.66,2.85,3.19
79,2022-01-04 7:00:00,2022,1,4,7,3.31,4.53,2.82
80,2022-01-04 8:00:00,2022,1,4,8,2.35,5.60,2.86
81,2022-01-04 9:00:00,2022,1,4,9,2.69,2.85,3.14
82,2022-01-04 10:00:00,2022,1,4,10,4.21,2.33,3.40
83,2022-01-04 11:00:00,2022,1,4,11,4.09,2.39,2.64
84,2022-01-04 12:00:00,2022,1,4,12,4.03,2.40,5.24
85,2022-01-04 13:00:00,2022,1,4,13,3.04,2.79,5.04
86,2022-01-04 14:00:00,2022,1,4,14,6.05,3.05,5.69
87,2022-01-04 15:00:00,2022,1,4,15,5.73,3.28,6.97
88,2022-01-04 16:00:00,2022,1,4,16,10.36,1.78,28.58
89,2022-01-04 17:00:00,2022,1,4,17,9.88,1.58,24.77
90,2022-01-04 18:00:00,2022,1,4,18,4.77,2.12,13.36
91,2022-01-04 19:00:00,2022,1,4,19,8.50,0.81,12.26
92,2022-01-04 20:00:00,2022,1,4,20,14.22,1.19,17.14
93,2022-01-04 21:00:00,2022,1,4,21,12.36,2.44,21.36
94,2022-01-04 22:00:00,2022,1,4,22,7.53,1.63,7.53
95,2022-01-04 23:00:00,2022,1,4,23,4.08,1.59,7.28
96,2022-01-05 0:00:00,2022,1,5,0,7.29,1.42,5.85
97,2022-01-05 1:00:00,2022,1,5,1,5.49,1.70,6.28
98,2022-01-05 2:00:00,2022,1,5,2,9.54,1.35,5.95
99,2022-01-05 3:00:00,2022,1,5,3,5.39,1.29,4.97
100,2022-01-05 4:00:00,2022,1,5,4,3.67,1.24,5.04
101,2022-01-05 5:00:00,2022,1,5,5,3.85,1.05,4.64
102,2022-01-05 6:00:00,2022,1,5,6,3.55,1.16,3.73
103,2022-01-05 7:00:00,2022,1,5,7,3.69,0.97,3.39
104,2022-01-05 8:00:00,2022,1,5,8,4.12,0.96,2.90
105,2022-01-05 9:00:00,2022,1,5,9,3.79,0.86,1.88
106,2022-01-05 10:00:00,2022,1,5,10,2.84,1.06,1.77
107,2022-01-05 11:00:00,2022,1,5,11,3.06,0.90,2.07
108,2022-01-05 12:00:00,2022,1,5,12,3.01,0.55,2.48
109,2022-01-05 13:00:00,2022,1,5,13,4.21,0.68,2.64
110,2022-01-05 14:00:00,2022,1,5,14,4.24,0.80,4.23
111,2022-01-05 15:00:00,2022,1,5,15,4.74,0.74,5.93
112,2022-01-05 16:00:00,2022,1,5,16,5.93,0.89,9.96
113,2022-01-05 17:00:00,2022,1,5,17,6.08,0.97,12.96
114,2022-01-05 18:00:00,2022,1,5,18,3.56,0.58,19.04
115,2022-01-05 19:00:00,2022,1,5,19,3.56,0.81,15.35
116,2022-01-05 20:00:00,2022,1,5,20,6.12,1.02,11.01
117,2022-01-05 21:00:00,2022,1,5,21,7.86,0.70,7.96
118,2022-01-05 22:00:00,2022,1,5,22,9.05,0.91,6.85
119,2022-01-05 23:00:00,2022,1,5,23,4.86,0.97,8.98
120,2022-01-06 0:00:00,2022,1,6,0,12.00,1.32,6.45
121,2022-01-06 1:00:00,2022,1,6,1,12.29,1.01,6.11
