date-time;year;month;day;hour;NH3;NO;NO2
2013-01-01 00:00:00;2013;1;1;0;1.91;0.53;7.92
2013-01-01 01:00:00;2013;1;1;1;1.91;0.11;7.01
2013-01-01 02:00:00;2013;1;1;2;1.91;0.05;4.93
2013-01-01 03:00:00;2013;1;1;3;1.6;-0.11;4.39
2013-01-01 04:00:00;2013;1;1;4;1.6;0.13;4.25
2013-01-01 05:00:00;2013;1;1;5;1.6;0.01;4.92
2013-01-01 06:00:00;2013;1;1;6;1.6;-0.06;6.12
2013-01-01 07:00:00;2013;1;1;7;1.6;0.05;6.32
2013-01-01 08:00:00;2013;1;1;8;1.6;-0.05;6.13
2013-01-01 09:00:00;2013;1;1;9;1.91;-0.01;6.84
2013-01-01 10:00:00;2013;1;1;10;2.85;0.06;6.38
2013-01-01 11:00:00;2013;1;1;11;3.79;0.1;5.92
2013-01-01 12:00:00;2013;1;1;12;9.72;0.2;5.34
2013-01-01 13:00:00;2013;1;1;13;7.22;0.44;9.79
2013-01-01 14:00:00;2013;1;1;14;5.03;0.37;7.51
2013-01-01 15:00:00;2013;1;1;15;4.1;0.13;5.54
2013-01-01 16:00:00;2013;1;1;16;4.1;-0.05;5.92
2013-01-01 17:00:00;2013;1;1;17;4.72;-0.07;8.09
2013-01-01 18:00:00;2013;1;1;18;4.41;0.05;10.19
2013-01-01 19:00:00;2013;1;1;19;4.41;0.17;12.91
2013-01-01 20:00:00;2013;1;1;20;4.1;0.22;11.42
2013-01-01 21:00:00;2013;1;1;21;3.79;0.13;12.5
2013-01-01 22:00:00;2013;1;1;22;3.79;0.06;12.84
2013-01-01 23:00:00;2013;1;1;23;3.79;-0.02;8.15
2013-01-02 00:00:00;2013;1;2;0;3.79;0.43;8.45
2013-01-02 01:00:00;2013;1;2;1;3.79;0.18;6.6
2013-01-02 02:00:00;2013;1;2;2;4.1;0.13;5.49
2013-01-02 03:00:00;2013;1;2;3;4.1;0.09;5.39
2013-01-02 04:00:00;2013;1;2;4;3.79;0.15;6.59
2013-01-02 05:00:00;2013;1;2;5;4.1;0.1;7.28
2013-01-02 06:00:00;2013;1;2;6;4.1;0.0;8.87
2013-01-02 07:00:00;2013;1;2;7;4.41;0.09;12.41
2013-01-02 08:00:00;2013;1;2;8;4.72;0.54;20.59
2013-01-02 09:00:00;2013;1;2;9;5.66;2.63;27.85
2013-01-02 10:00:00;2013;1;2;10;5.35;4.3;26.53
2013-01-02 11:00:00;2013;1;2;11;5.66;5.61;23.34
2013-01-02 12:00:00;2013;1;2;12;5.66;4.81;23.56
2013-01-02 13:00:00;2013;1;2;13;5.03;5.89;28.65
2013-01-02 14:00:00;2013;1;2;14;4.72;4.72;31.29
2013-01-02 15:00:00;2013;1;2;15;4.72;0.97;16.26
2013-01-02 16:00:00;2013;1;2;16;4.41;0.29;17.72
2013-01-02 17:00:00;2013;1;2;17;4.41;0.35;18.67
2013-01-02 18:00:00;2013;1;2;18;4.1;0.13;20.85
2013-01-02 19:00:00;2013;1;2;19;4.1;0.38;25.52
2013-01-02 20:00:00;2013;1;2;20;4.1;0.42;29.34
2013-01-02 21:00:00;2013;1;2;21;4.1;0.68;32.66
2013-01-02 22:00:00;2013;1;2;22;3.79;0.81;31.73
2013-01-02 23:00:00;2013;1;2;23;3.47;0.52;22.75
2013-01-03 00:00:00;2013;1;3;0;2.53;0.74;12.82
2013-01-03 01:00:00;2013;1;3;1;2.53;0.19;11.59
2013-01-03 02:00:00;2013;1;3;2;2.53;0.25;10.62
2013-01-03 03:00:00;2013;1;3;3;2.22;0.2;11.71
2013-01-03 04:00:00;2013;1;3;4;2.53;0.2;12.14
2013-01-03 05:00:00;2013;1;3;5;2.22;0.26;12.15
2013-01-03 06:00:00;2013;1;3;6;2.53;0.35;14.01
2013-01-03 07:00:00;2013;1;3;7;2.53;0.58;19.64
2013-01-03 08:00:00;2013;1;3;8;2.53;0.46;23.3
2013-01-03 09:00:00;2013;1;3;9;2.85;1.18;24.52
2013-01-03 10:00:00;2013;1;3;10;2.85;2.18;28.76
2013-01-03 11:00:00;2013;1;3;11;3.47;4.71;27.38
2013-01-03 12:00:00;2013;1;3;12;3.79;3.14;29.37
2013-01-03 13:00:00;2013;1;3;13;4.72;1.65;20.01
2013-01-03 14:00:00;2013;1;3;14;5.03;1.09;17.48
2013-01-03 15:00:00;2013;1;3;15;5.35;2.91;31.54
2013-01-03 16:00:00;2013;1;3;16;5.97;0.57;17.14
2013-01-03 17:00:00;2013;1;3;17;7.22;0.24;16.31
2013-01-03 18:00:00;2013;1;3;18;7.22;0.27;16.01
2013-01-03 19:00:00;2013;1;3;19;7.22;0.03;17.27
2013-01-03 20:00:00;2013;1;3;20;7.53;0.24;17.64
2013-01-03 21:00:00;2013;1;3;21;6.6;0.24;19.12
2013-01-03 22:00:00;2013;1;3;22;6.28;0.4;30.85
2013-01-03 23:00:00;2013;1;3;23;6.28;0.54;27.04
2013-01-04 00:00:00;2013;1;4;0;;0.92;31.74
2013-01-04 01:00:00;2013;1;4;1;;1.09;37.79
2013-01-04 02:00:00;2013;1;4;2;;0.91;37.4
2013-01-04 03:00:00;2013;1;4;3;;0.62;31.93
2013-01-04 04:00:00;2013;1;4;4;3.16;0.76;32.94
2013-01-04 05:00:00;2013;1;4;5;3.16;0.89;37.01
2013-01-04 06:00:00;2013;1;4;6;3.16;0.7;28.57
2013-01-04 07:00:00;2013;1;4;7;3.79;0.56;21.09
2013-01-04 08:00:00;2013;1;4;8;4.1;0.36;18.79
2013-01-04 09:00:00;2013;1;4;9;3.79;0.83;17.46
2013-01-04 10:00:00;2013;1;4;10;4.41;0.87;16.34
2013-01-04 11:00:00;2013;1;4;11;5.35;1.06;14.07
2013-01-04 12:00:00;2013;1;4;12;6.91;0.61;12.15
2013-01-04 13:00:00;2013;1;4;13;8.16;0.43;11.65
2013-01-04 14:00:00;2013;1;4;14;8.47;1.04;14.15
2013-01-04 15:00:00;2013;1;4;15;8.42;0.43;11.4
2013-01-04 16:00:00;2013;1;4;16;8.47;0.18;10.23
2013-01-04 17:00:00;2013;1;4;17;7.53;0.25;9.23
2013-01-04 18:00:00;2013;1;4;18;8.16;0.01;10.3
2013-01-04 19:00:00;2013;1;4;19;8.47;0.11;10.95
2013-01-04 20:00:00;2013;1;4;20;7.53;0.01;9.91
2013-01-04 21:00:00;2013;1;4;21;8.16;0.11;9.19
2013-01-04 22:00:00;2013;1;4;22;8.47;-0.06;7.09
2013-01-04 23:00:00;2013;1;4;23;7.43;-0.12;7.34
2013-01-05 00:00:00;2013;1;5;0;6.28;0.34;6.21
2013-01-05 01:00:00;2013;1;5;1;5.66;-0.06;6.79
2013-01-05 02:00:00;2013;1;5;2;5.97;-0.02;7.76
2013-01-05 03:00:00;2013;1;5;3;7.01;0.07;8.87
2013-01-05 04:00:00;2013;1;5;4;7.95;-0.01;8.71
2013-01-05 05:00:00;2013;1;5;5;11.08;-0.12;8.57
2013-01-05 06:00:00;2013;1;5;6;9.41;-0.14;9.93
2013-01-05 07:00:00;2013;1;5;7;8.79;0.23;10.3
2013-01-05 08:00:00;2013;1;5;8;10.03;0.3;12.81
2013-01-05 09:00:00;2013;1;5;9;8.89;0.58;15.65
2013-01-05 10:00:00;2013;1;5;10;11.7;1.89;20.16
2013-01-05 11:00:00;2013;1;5;11;20.97;1.39;21.7
2013-01-05 12:00:00;2013;1;5;12;16.29;1.74;24.16
2013-01-05 13:00:00;2013;1;5;13;15.35;1.07;19.94
2013-01-05 14:00:00;2013;1;5;14;11.13;0.61;15.34
2013-01-05 15:00:00;2013;1;5;15;9.1;0.58;17.37
2013-01-05 16:00:00;2013;1;5;16;8.32;0.37;16.32
2013-01-05 17:00:00;2013;1;5;17;8.16;0.2;12.58
2013-01-05 18:00:00;2013;1;5;18;6.91;0.21;10.94
2013-01-05 19:00:00;2013;1;5;19;7.85;0.09;11.97
2013-01-05 20:00:00;2013;1;5;20;8.47;-0.08;8.53
2013-01-05 21:00:00;2013;1;5;21;7.22;0.15;12.97
2013-01-05 22:00:00;2013;1;5;22;5.66;0.21;15.19
2013-01-05 23:00:00;2013;1;5;23;5.03;0.16;14.48
2013-01-06 00:00:00;2013;1;6;0;4.72;1.15;15.28
2013-01-06 01:00:00;2013;1;6;1;4.41;0.85;17.17
2013-01-06 02:00:00;2013;1;6;2;4.72;0.69;20.12
2013-01-06 03:00:00;2013;1;6;3;5.03;0.66;22.26
2013-01-06 04:00:00;2013;1;6;4;5.35;0.84;20.23
2013-01-06 05:00:00;2013;1;6;5;5.97;0.57;11.66
2013-01-06 06:00:00;2013;1;6;6;6.91;0.42;9.28
2013-01-06 07:00:00;2013;1;6;7;7.53;0.36;8.91
2013-01-06 08:00:00;2013;1;6;8;7.22;0.54;11.42
2013-01-06 09:00:00;2013;1;6;9;9.72;0.95;14.06
2013-01-06 10:00:00;2013;1;6;10;11.81;3.4;17.54
2013-01-06 11:00:00;2013;1;6;11;16.29;1.05;11.64
2013-01-06 12:00:00;2013;1;6;12;22.22;0.69;7.48
2013-01-06 13:00:00;2013;1;6;13;22.27;0.5;6.61
2013-01-06 14:00:00;2013;1;6;14;27.85;0.57;6.96
2013-01-06 15:00:00;2013;1;6;15;28.26;0.38;7.99
2013-01-06 16:00:00;2013;1;6;16;19.2;0.52;16.05
2013-01-06 17:00:00;2013;1;6;17;15.66;0.64;25.55
2013-01-06 18:00:00;2013;1;6;18;11.7;1.0;26.63
2013-01-06 19:00:00;2013;1;6;19;11.81;0.8;26.45
2013-01-06 20:00:00;2013;1;6;20;12.85;1.02;30.87
2013-01-06 21:00:00;2013;1;6;21;10.97;0.88;18.47
2013-01-06 22:00:00;2013;1;6;22;10.66;0.52;12.63
2013-01-06 23:00:00;2013;1;6;23;8.47;0.54;13.1
2013-01-07 00:00:00;2013;1;7;0;7.53;1.06;17.32
2013-01-07 01:00:00;2013;1;7;1;6.91;0.97;32.26
2013-01-07 02:00:00;2013;1;7;2;5.97;0.49;17.63
2013-01-07 03:00:00;2013;1;7;3;5.03;0.33;16.04
2013-01-07 04:00:00;2013;1;7;4;4.72;0.68;18.52
2013-01-07 05:00:00;2013;1;7;5;4.41;0.77;20.18
2013-01-07 06:00:00;2013;1;7;6;4.1;1.8;21.42
2013-01-07 07:00:00;2013;1;7;7;3.79;1.54;23.0
2013-01-07 08:00:00;2013;1;7;8;3.47;3.29;32.27
2013-01-07 09:00:00;2013;1;7;9;3.79;3.06;35.68
2013-01-07 10:00:00;2013;1;7;10;;3.57;34.9
2013-01-07 11:00:00;2013;1;7;11;;4.89;33.84
2013-01-07 12:00:00;2013;1;7;12;;2.51;27.7
2013-01-07 13:00:00;2013;1;7;13;;1.23;21.92
2013-01-07 14:00:00;2013;1;7;14;3.79;0.76;19.0
2013-01-07 15:00:00;2013;1;7;15;4.41;0.89;25.55
2013-01-07 16:00:00;2013;1;7;16;4.41;1.15;30.56
2013-01-07 17:00:00;2013;1;7;17;4.41;0.42;30.16
2013-01-07 18:00:00;2013;1;7;18;4.72;0.56;30.44
2013-01-07 19:00:00;2013;1;7;19;4.72;0.64;32.59
2013-01-07 20:00:00;2013;1;7;20;4.1;0.78;36.45
2013-01-07 21:00:00;2013;1;7;21;3.79;0.59;31.1
2013-01-07 22:00:00;2013;1;7;22;3.79;0.63;29.96
2013-01-07 23:00:00;2013;1;7;23;3.16;0.53;29.3
2013-01-08 00:00:00;2013;1;8;0;3.16;0.76;24.0
2013-01-08 01:00:00;2013;1;8;1;3.16;0.74;24.59
2013-01-08 02:00:00;2013;1;8;2;3.16;0.61;21.7
2013-01-08 03:00:00;2013;1;8;3;2.85;0.31;15.43
2013-01-08 04:00:00;2013;1;8;4;2.85;0.28;14.04
2013-01-08 05:00:00;2013;1;8;5;2.95;0.17;14.9
2013-01-08 06:00:00;2013;1;8;6;3.47;0.44;17.13
2013-01-08 07:00:00;2013;1;8;7;3.47;0.79;23.7
2013-01-08 08:00:00;2013;1;8;8;3.79;1.69;33.05
2013-01-08 09:00:00;2013;1;8;9;4.1;4.41;28.83
2013-01-08 10:00:00;2013;1;8;10;4.72;7.56;29.06
2013-01-08 11:00:00;2013;1;8;11;5.03;9.58;30.85
2013-01-08 12:00:00;2013;1;8;12;5.35;9.15;28.52
2013-01-08 13:00:00;2013;1;8;13;5.66;9.28;31.85
2013-01-08 14:00:00;2013;1;8;14;5.66;6.43;34.92
2013-01-08 15:00:00;2013;1;8;15;5.66;4.22;38.35
2013-01-08 16:00:00;2013;1;8;16;5.66;2.71;42.42
2013-01-08 17:00:00;2013;1;8;17;5.66;1.59;44.04
2013-01-08 18:00:00;2013;1;8;18;5.66;1.91;44.93
2013-01-08 19:00:00;2013;1;8;19;5.97;1.08;39.07
2013-01-08 20:00:00;2013;1;8;20;5.97;0.94;39.51
2013-01-08 21:00:00;2013;1;8;21;5.35;1.32;43.41
2013-01-08 22:00:00;2013;1;8;22;4.41;1.31;38.61
2013-01-08 23:00:00;2013;1;8;23;3.84;0.76;34.93
2013-01-09 00:00:00;2013;1;9;0;3.47;1.62;35.28
2013-01-09 01:00:00;2013;1;9;1;3.47;0.91;27.01
2013-01-09 02:00:00;2013;1;9;2;3.11;0.66;22.02
2013-01-09 03:00:00;2013;1;9;3;2.85;0.56;19.83
2013-01-09 04:00:00;2013;1;9;4;2.53;0.43;17.04
2013-01-09 05:00:00;2013;1;9;5;2.22;0.5;17.32
2013-01-09 06:00:00;2013;1;9;6;2.22;0.42;21.55
2013-01-09 07:00:00;2013;1;9;7;1.91;1.16;30.93
2013-01-09 08:00:00;2013;1;9;8;1.91;3.74;37.17
2013-01-09 09:00:00;2013;1;9;9;1.91;5.64;37.7
2013-01-09 10:00:00;2013;1;9;10;2.22;8.33;38.98
2013-01-09 11:00:00;2013;1;9;11;2.22;8.04;37.55
2013-01-09 12:00:00;2013;1;9;12;2.22;8.76;37.07
2013-01-09 13:00:00;2013;1;9;13;2.22;8.15;36.77
2013-01-09 14:00:00;2013;1;9;14;2.22;8.99;34.79
2013-01-09 15:00:00;2013;1;9;15;2.53;9.36;35.54
2013-01-09 16:00:00;2013;1;9;16;2.85;8.14;39.52
2013-01-09 17:00:00;2013;1;9;17;10.09;0.86;16.72
2013-01-09 18:00:00;2013;1;9;18;12.85;0.01;9.29
2013-01-09 19:00:00;2013;1;9;19;10.03;0.29;16.73
2013-01-09 20:00:00;2013;1;9;20;11.91;0.52;23.29
2013-01-09 21:00:00;2013;1;9;21;14.72;0.34;16.41
2013-01-09 22:00:00;2013;1;9;22;23.47;0.12;8.43
2013-01-09 23:00:00;2013;1;9;23;11.29;0.02;7.88
2013-01-10 00:00:00;2013;1;10;0;11.29;0.98;14.35
2013-01-10 01:00:00;2013;1;10;1;9.72;0.65;18.5
