date-time;year;month;day;hour;NH3;NO;NO2
2013-01-01 00:00:00;2013;1;1;0;2.08;0.05;10.97
2013-01-01 01:00:00;2013;1;1;1;2.13;-0.06;10.18
2013-01-01 02:00:00;2013;1;1;2;1.87;-0.21;7.6
2013-01-01 03:00:00;2013;1;1;3;1.87;-0.35;6.6
2013-01-01 04:00:00;2013;1;1;4;1.87;-0.19;10.85
2013-01-01 05:00:00;2013;1;1;5;1.82;-0.25;13.77
2013-01-01 06:00:00;2013;1;1;6;1.87;-0.08;9.29
2013-01-01 07:00:00;2013;1;1;7;1.56;-0.09;9.33
2013-01-01 08:00:00;2013;1;1;8;1.87;-0.07;6.02
2013-01-01 09:00:00;2013;1;1;9;1.66;-0.26;6.15
2013-01-01 10:00:00;2013;1;1;10;1.56;-0.12;4.93
2013-01-01 11:00:00;2013;1;1;11;1.56;-0.06;5.05
2013-01-01 12:00:00;2013;1;1;12;1.56;-0.16;4.2
2013-01-01 13:00:00;2013;1;1;13;1.56;-0.09;4.04
2013-01-01 14:00:00;2013;1;1;14;1.56;-0.17;4.2
2013-01-01 15:00:00;2013;1;1;15;1.56;-0.22;4.05
2013-01-01 16:00:00;2013;1;1;16;1.56;-0.42;4.78
2013-01-01 17:00:00;2013;1;1;17;1.56;-0.2;6.65
2013-01-01 18:00:00;2013;1;1;18;1.56;-0.5;7.01
2013-01-01 19:00:00;2013;1;1;19;1.71;-0.14;4.63
2013-01-01 20:00:00;2013;1;1;20;1.87;-0.07;4.77
2013-01-01 21:00:00;2013;1;1;21;2.18;-0.12;5.13
2013-01-01 22:00:00;2013;1;1;22;2.49;-0.3;4.94
2013-01-01 23:00:00;2013;1;1;23;2.18;-0.36;3.92
2013-01-02 00:00:00;2013;1;2;0;2.18;0.87;3.43
2013-01-02 01:00:00;2013;1;2;1;2.18;0.37;4.5
2013-01-02 02:00:00;2013;1;2;2;2.18;0.49;4.71
2013-01-02 03:00:00;2013;1;2;3;2.13;0.5;5.07
2013-01-02 04:00:00;2013;1;2;4;1.87;0.56;5.35
2013-01-02 05:00:00;2013;1;2;5;1.87;0.37;5.15
2013-01-02 06:00:00;2013;1;2;6;1.87;0.66;7.43
2013-01-02 07:00:00;2013;1;2;7;1.87;0.68;17.99
2013-01-02 08:00:00;2013;1;2;8;1.56;0.75;20.56
2013-01-02 09:00:00;2013;1;2;9;1.56;10.15;32.0
2013-01-02 10:00:00;2013;1;2;10;1.87;32.82;57.76
2013-01-02 11:00:00;2013;1;2;11;2.18;19.68;48.48
2013-01-02 12:00:00;2013;1;2;12;;4.16;20.87
2013-01-02 13:00:00;2013;1;2;13;3.74;2.82;14.67
2013-01-02 14:00:00;2013;1;2;14;2.18;2.56;20.18
2013-01-02 15:00:00;2013;1;2;15;2.18;2.11;22.72
2013-01-02 16:00:00;2013;1;2;16;2.18;0.82;27.2
2013-01-02 17:00:00;2013;1;2;17;2.18;1.01;35.99
2013-01-02 18:00:00;2013;1;2;18;2.18;1.06;29.15
2013-01-02 19:00:00;2013;1;2;19;2.49;0.69;32.71
2013-01-02 20:00:00;2013;1;2;20;2.8;0.94;28.39
2013-01-02 21:00:00;2013;1;2;21;2.8;0.75;17.47
2013-01-02 22:00:00;2013;1;2;22;2.75;0.74;16.6
2013-01-02 23:00:00;2013;1;2;23;2.49;0.81;19.55
2013-01-03 00:00:00;2013;1;3;0;2.18;0.04;21.19
2013-01-03 01:00:00;2013;1;3;1;1.87;0.01;20.65
2013-01-03 02:00:00;2013;1;3;2;1.87;-0.15;19.32
2013-01-03 03:00:00;2013;1;3;3;1.87;-0.09;17.32
2013-01-03 04:00:00;2013;1;3;4;1.87;-0.03;20.65
2013-01-03 05:00:00;2013;1;3;5;1.87;-0.15;27.01
2013-01-03 06:00:00;2013;1;3;6;2.18;-0.07;24.78
2013-01-03 07:00:00;2013;1;3;7;1.87;0.12;35.45
2013-01-03 08:00:00;2013;1;3;8;2.18;0.37;37.1
