date-time;year;month;day;hour;Rg;Ta;RH;u;P;smc_065;smc_125;smc_250;smc_500
2013-01-01 00:00:00;2013;1;1;0;-2.271;8.365;91.302;8.053;0.0;0.712;0.689;0.691;0.741
2013-01-01 01:00:00;2013;1;1;1;-2.182;8.269;91.625;7.567;0.0;0.712;0.69;0.691;0.741
2013-01-01 02:00:00;2013;1;1;2;-2.094;8.354;92.01;6.691;0.0;0.713;0.69;0.691;0.74
2013-01-01 03:00:00;2013;1;1;3;-2.012;8.138;92.665;7.058;0.0;0.713;0.689;0.691;0.74
2013-01-01 04:00:00;2013;1;1;4;-1.992;8.179;92.972;6.755;0.0;0.713;0.689;0.691;0.74
2013-01-01 05:00:00;2013;1;1;5;-2.079;8.195;93.388;6.848;0.0;0.713;0.689;0.691;0.74
2013-01-01 06:00:00;2013;1;1;6;-2.37;8.287;92.575;6.405;0.0;0.712;0.69;0.691;0.74
2013-01-01 07:00:00;2013;1;1;7;-2.058;8.318;91.773;6.116;0.0;0.712;0.69;0.691;0.741
2013-01-01 08:00:00;2013;1;1;8;7.365;7.902;92.65;3.685;0.0;0.713;0.689;0.691;0.74
2013-01-01 09:00:00;2013;1;1;9;23.464;7.9;93.882;2.535;0.0;0.712;0.69;0.691;0.74
2013-01-01 10:00:00;2013;1;1;10;22.849;7.08;90.535;6.146;0.0;0.712;0.689;0.691;0.741
2013-01-01 11:00:00;2013;1;1;11;55.835;6.588;88.645;3.998;0.0;0.712;0.689;0.691;0.741
2013-01-01 12:00:00;2013;1;1;12;69.047;6.831;87.532;3.849;0.0;0.712;0.69;0.691;0.741
2013-01-01 13:00:00;2013;1;1;13;105.086;7.013;80.261;5.015;0.0;0.713;0.689;0.692;0.74
2013-01-01 14:00:00;2013;1;1;14;107.791;6.973;74.326;5.576;0.01;0.713;0.69;0.691;0.741
2013-01-01 15:00:00;2013;1;1;15;6.81;5.851;75.787;4.739;0.0;0.712;0.69;0.691;0.741
2013-01-01 16:00:00;2013;1;1;16;-3.984;4.537;82.196;3.339;0.0;0.712;0.689;0.692;0.741
2013-01-01 17:00:00;2013;1;1;17;-3.724;4.364;82.668;4.031;0.0;0.712;0.689;0.692;0.741
2013-01-01 18:00:00;2013;1;1;18;-3.726;4.535;82.963;4.12;0.0;0.712;0.689;0.691;0.741
2013-01-01 19:00:00;2013;1;1;19;-4.11;4.033;86.8;3.596;0.0;0.712;0.689;0.691;0.741
2013-01-01 20:00:00;2013;1;1;20;-3.994;3.677;86.817;3.565;0.01;0.711;0.689;0.69;0.741
2013-01-01 21:00:00;2013;1;1;21;-3.472;4.423;87.072;3.708;0.0;0.711;0.689;0.69;0.741
2013-01-01 22:00:00;2013;1;1;22;-3.451;4.147;88.837;3.408;0.0;0.711;0.689;0.69;0.74
2013-01-01 23:00:00;2013;1;1;23;-3.545;4.827;86.795;4.458;0.0;0.711;0.688;0.69;0.741
