date-time;year;month;day-of-month;hour;Rg;Ta;RH;u;P;smc_065;smc_125;smc_250;smc_500
2013-01-01 0:00;2013;1;1;0;0.0;8.6;90.04;8.6;1.0;0.71;0.69;0.69;0.74
2013-01-01 1:00;2013;1;1;1;0.0;8.4;91.31;8.1;2.0;0.71;0.69;0.69;0.74
2013-01-01 2:00;2013;1;1;2;0.0;8.3;91.62;7.5;0.6;0.71;0.69;0.69;0.74
2013-01-01 3:00;2013;1;1;3;0.0;8.2;92.01;6.7;1.8;0.71;0.69;0.69;0.74
2013-01-01 4:00;2013;1;1;4;0.0;8.2;92.67;7.1;1.3;0.71;0.69;0.69;0.74
2013-01-01 5:00;2013;1;1;5;0.0;8.2;92.98;6.7;0.4;0.71;0.69;0.69;0.74
2013-01-01 6:00;2013;1;1;6;0.0;8.3;93.38;6.9;0.1;0.71;0.69;0.69;0.74
2013-01-01 7:00;2013;1;1;7;0.0;8.4;92.55;6.4;4.3;0.71;0.69;0.69;0.74
2013-01-01 8:00;2013;1;1;8;0.0;8.4;91.76;6.1;1.7;0.71;0.69;0.69;0.74
2013-01-01 9:00;2013;1;1;9;7.8;7.9;92.69;3.7;0.2;0.71;0.69;0.69;0.74
2013-01-01 10:00;2013;1;1;10;23.6;7.8;93.89;2.5;1.6;0.71;0.69;0.69;0.74
2013-01-01 11:00;2013;1;1;11;22.8;7.1;90.55;6.2;0.0;0.71;0.69;0.69;0.74
2013-01-01 12:00;2013;1;1;12;56.3;6.6;88.61;4.0;0.0;0.71;0.69;0.69;0.74
2013-01-01 13:00;2013;1;1;13;69.7;6.9;87.46;3.9;0.0;0.71;0.69;0.69;0.74
2013-01-01 14:00;2013;1;1;14;105.9;7.1;80.15;5.0;0.0;0.71;0.69;0.69;0.74
2013-01-01 15:00;2013;1;1;15;106.0;7.0;74.26;5.6;0.0;0.71;0.69;0.69;0.74
2013-01-01 16:00;2013;1;1;16;6.8;5.8;75.85;4.7;0.0;0.71;0.69;0.69;0.74
2013-01-01 17:00;2013;1;1;17;0.0;4.5;82.26;3.4;0.0;0.71;0.69;0.69;0.74
2013-01-01 18:00;2013;1;1;18;0.0;4.4;82.65;4.0;0.0;0.71;0.69;0.69;0.74
2013-01-01 19:00;2013;1;1;19;0.0;4.6;82.98;4.1;0.0;0.71;0.69;0.69;0.74
2013-01-01 20:00;2013;1;1;20;0.0;4.1;86.85;3.6;0.0;0.71;0.69;0.69;0.74
2013-01-01 21:00;2013;1;1;21;0.0;3.8;86.83;3.6;0.0;0.71;0.69;0.69;0.74
2013-01-01 22:00;2013;1;1;22;0.0;4.0;87.05;3.7;0.2;0.71;0.69;0.69;0.74
2013-01-01 23:00;2013;1;1;23;0.0;4.2;88.86;3.4;0.3;0.71;0.69;0.69;0.74
2013-01-02 0:00;2013;1;2;0;0.0;4.9;86.75;4.5;0.0;0.71;0.69;0.69;0.74
2013-01-02 1:00;2013;1;2;1;0.0;5.0;86.66;4.2;0.0;0.71;0.69;0.69;0.74
2013-01-02 2:00;2013;1;2;2;0.0;4.8;87.5;4.3;0.0;0.71;0.69;0.69;0.74
2013-01-02 3:00;2013;1;2;3;0.0;4.4;88.48;4.0;0.0;0.71;0.69;0.69;0.74
2013-01-02 4:00;2013;1;2;4;0.0;3.9;90.57;3.2;0.0;0.71;0.69;0.69;0.74
2013-01-02 5:00;2013;1;2;5;0.0;4.3;91.43;4.2;0.0;0.71;0.69;0.69;0.74
2013-01-02 6:00;2013;1;2;6;0.0;4.2;90.67;4.3;0.0;0.71;0.69;0.69;0.74
2013-01-02 7:00;2013;1;2;7;0.0;3.5;92.04;3.8;0.0;0.71;0.69;0.69;0.74
2013-01-02 8:00;2013;1;2;8;0.7;3.7;92.19;4.3;0.0;0.71;0.69;0.69;0.74
2013-01-02 9:00;2013;1;2;9;35.4;3.8;92.87;3.9;0.0;0.71;0.69;0.69;0.74
2013-01-02 10:00;2013;1;2;10;114.6;4.9;90.9;3.6;0.0;0.71;0.69;0.69;0.74
