,date-time,year,month,day-of-month,hour,Rg,Ta,RH,u,P,smc_065,smc_125,smc_250,smc_500
0,2023-01-01 0:00:00,2023,1,1,0,0.0,15.646,56.82,10.428,0.0,0.676,0.669,0.676,0.71
1,2023-01-01 1:00:00,2023,1,1,1,0.0,15.068,60.116,9.612,0.0,0.676,0.669,0.676,0.71
2,2023-01-01 2:00:00,2023,1,1,2,0.0,14.859,58.726,8.255,0.0,0.676,0.669,0.676,0.71
3,2023-01-01 3:00:00,2023,1,1,3,0.0,14.791,57.428,7.796,0.0,0.676,0.668,0.675,0.71
4,2023-01-01 4:00:00,2023,1,1,4,0.0,14.521,60.013,7.247,0.0,0.676,0.668,0.675,0.71
5,2023-01-01 5:00:00,2023,1,1,5,0.0,13.967,63.562,8.611,0.0,0.676,0.667,0.675,0.71
6,2023-01-01 6:00:00,2023,1,1,6,0.0,13.413,59.706,9.172,0.0,0.676,0.667,0.675,0.71
7,2023-01-01 7:00:00,2023,1,1,7,0.372,11.678,69.458,7.008,0.1,0.676,0.666,0.675,0.71
8,2023-01-01 8:00:00,2023,1,1,8,10.804,11.515,70.363,5.517,0.0,0.676,0.665,0.676,0.71
9,2023-01-01 9:00:00,2023,1,1,9,57.274,11.646,73.609,5.665,0.0,0.676,0.665,0.677,0.71
10,2023-01-01 10:00:00,2023,1,1,10,55.115,11.747,79.498,6.823,0.0,0.676,0.664,0.677,0.71
11,2023-01-01 11:00:00,2023,1,1,11,103.728,11.643,82.312,6.16,0.0,0.675,0.664,0.678,0.71
12,2023-01-01 12:00:00,2023,1,1,12,130.565,12.5,80.21,6.259,0.0,0.675,0.663,0.678,0.71
13,2023-01-01 13:00:00,2023,1,1,13,56.642,12.556,77.027,5.678,0.0,0.675,0.662,0.678,0.71
14,2023-01-01 14:00:00,2023,1,1,14,23.364,12.076,79.94,3.911,0.0,0.675,0.662,0.678,0.71
15,2023-01-01 15:00:00,2023,1,1,15,3.754,11.643,81.241,4.263,0.0,0.674,0.663,0.678,0.71
16,2023-01-01 16:00:00,2023,1,1,16,0.0,11.572,80.406,3.98,0.0,0.674,0.663,0.678,0.71
17,2023-01-01 17:00:00,2023,1,1,17,0.0,11.352,83.803,4.018,0.2,0.674,0.663,0.678,0.711
18,2023-01-01 18:00:00,2023,1,1,18,0.0,10.772,91.642,4.687,1.07,0.675,0.664,0.676,0.711
19,2023-01-01 19:00:00,2023,1,1,19,0.0,10.515,95.182,4.817,1.1,0.676,0.667,0.675,0.711
20,2023-01-01 20:00:00,2023,1,1,20,0.0,10.475,96.255,4.571,1.24,0.675,0.666,0.675,0.711
21,2023-01-01 21:00:00,2023,1,1,21,0.0,10.445,96.605,4.038,1.14,0.675,0.666,0.675,0.711
22,2023-01-01 22:00:00,2023,1,1,22,0.0,10.536,96.065,4.974,0.37,0.676,0.667,0.675,0.711
23,2023-01-01 23:00:00,2023,1,1,23,0.0,10.873,93.675,4.863,0.0,0.676,0.667,0.675,0.711
24,2023-01-02 0:00:00,2023,1,2,0,0.0,11.419,90.295,5.222,0.0,0.676,0.667,0.675,0.711
25,2023-01-02 1:00:00,2023,1,2,1,0.009,11.946,88.087,4.923,0.0,0.676,0.667,0.675,0.711
26,2023-01-02 2:00:00,2023,1,2,2,0.0,12.354,88.245,6.776,0.41,0.676,0.667,0.675,0.711
27,2023-01-02 3:00:00,2023,1,2,3,0.0,12.595,88.652,7.169,0.0,0.676,0.666,0.675,0.712
